Success,Unacceptable Rate 85% Acceptable Rate 95%
0,0.908
0,1.816
0,2.724
0,3.632
0,4.54
0,5.448
1,5.356
0,6.264
0,7.172
0,8.08
1,7.988
1,7.896
0,8.804
0,9.712
1,9.62
0,10.528
0,11.436
0,12.344
1,12.272
0,13.18
1,13.108
1,13.016
0,13.924
1,13.832
1,13.74
1,13.648
0,14.556
1,14.464
1,14.372
0,15.28
0,16.188
1,16.096
1,16.004
0,16.912
0,17.82
0,18.728
0,19.636
1,19.544
0,20.452
0,21.36
1,21.268
1,21.176
1,21.084
1,20.992
0,21.9
1,21.808
1,21.716
1,21.624
1,21.532
1,21.44
1,21.348
1,21.256
0,22.164
0,23.072
1,22.98
1,22.888
1,22.796
1,22.704
1,22.612
0,23.52
0,24.428
1,24.336
1,24.344
0,25.152
0,26.06
1,25.968
1,25.876
1,25.784
0,26.692
1,26.6
1,26.508
0,27.416
1,27.324
1,27.232
1,27.14
1,27.048
1,26.956
1,26.864
1,26.772
1,26.68
0,27.588
1,27.496
1,27.404
1,27.312
1,27.22
1,27.128
1,27.036
1,26.944
0,27.852
0,28.76
0,29.668
1,29.576
1,29.484
1,29.392
1,29.3
1,29.208
1,29.116
1,29.024
1,28.932
0,28.84
0,30.728
0,31.656
0,32.563
1,31.472
1,32.38
1,32.288
1,32.196
1,32.104
1,32.012
1,31.92
1,31.828
1,31.736
0,32.644
1,32.552
1,32.46
1,32.368
1,32.276
1,32.184
1,32.092
1,32
0,32.908
1,32.816
1,32.724
1,32.632
1,32.54
1,32.448
1,32.356
1,32.264
1,32.172
1,32.08
1,32.988
0,32.896
0,33.804
0,34.712
1,34.62
0,35.528
1,35.436
1,35.244
1,35.252
1,35.16
1,35.068
1,34.976
0,35.884
1,35.792
1,35.7
1,35.608
1,35.516
1,35.424
1,35.332
1,35.24
1,35.148
1,35.056
1,34.964
1,34.872
1,34.78
1,34.688
1,34.596
1,34.504
1,34.412
1,34.32
0,35.228
1,35.136
1,35.044
1,34.952
1,34.86
1,34.768
1,34.676
1,34.584
1,34.492
1,34.4
1,34.308
1,34.216
1,34.124
0,35.032
1,34.94
1,34.848
1,34.756
0,35.664
1,35.572
1,35.48
1,35.388
1,35.296
1,35.204
1,35.112
1,35.02
1,34.928
1,34.836
1,34.744
1,34.652
0,35.56
1,35.468
1,35.376
1,35.284
1,35.192
1,35.1
1,35.008
1,34.926
1,34.824
1,34.732
0,35.64
1,35.548
1,34.456
1,35.364
1,35.272
1,35.18
1,35.088
0,35.996
1,35.904
1,35.812
1,35.72
1,35.628
1,35.536
1,35.444
1,35.352
1,35.26
1,35.168
1,35.076
1,34.984
1,34.892
1,34.8
1,34.708
1,34.616
1,34.524
1,34.432
1,34.34
1,34.248
0,35.156
1,35.064
1,34.972
1,34.88
1,34.788
1,34.696
1,34.604
0,35.512
1,35.42
1,35.328
1,35.236
1,35.144
1,35.05
1,34.96
1,34.868
1,34.776
1,34.684
1,34.592
1,34.5
0,35.408
1,35.316
1,35.224
1,35.132
1,35.04
1,34.948
1,34.856
1,34.764
0,35.672
1,35.58
1,35.488
1,35.396
0,36.304
1,36.212
1,36.12
1,36.028
1,35.936
1,35.844
1,35.752
1,35.66
1,35.568
1,35.476
1,35.384
1,35.292
1,35.2
1,35.108
1,35.016
1,34.924
1,34.832
1,34.74
1,34.648
1,34.556
1,34.464
1,34.372
1,34.28
1,34.188
1,34.096
1,34.004
1,33.912
1,33.82
1,33.728
1,33.636
1,33.544
1,33.452
1,33.36
1,33.268
1,33.176
1,33.084
1,32.992
1,32.9
1,32.808
1,32.716
1,32.624
1,32.532
1,32.44
1,32.348
0,33.256
1,33.164
1,33.072
1,32.98
1,32.888
1,32.796
0,33.704
0,34.612
1,34.52
1,34.428
1,34.336
1,34.244
1,34.152
1,34.06
1,33.968
1,33.876
1,33.784
1,33.692
1,33.6
1,33.508
1,33.416
1,33.324
1,33.232
1,33.14
1,33.048
1,32.956
1,32.864
1,32.772
1,32.68
1,32.588
1,32.496
1,32.404
1,32.312
0,33.22
1,33.128
0,34.036
1,33.944
1,33.852
1,33.76
1,33.668
1,33.576
1,33.484
1,33.392
1,33.3
1,33.208
1,33.116
1,33.024
1,32.932
1,32.84
0,33.748
1,33.656
1,33.564
1,33.472
1,33.38
1,33.288
1,33.196
1,33.104
1,33.012
1,32.92
1,32.828
1,32.736
1,32.644
1,32.552
1,32.46
1,32.368
1,32.276
1,32.184
0,33.092
1,33
1,32.908
1,32.816
1,32.724
1,32.632
1,32.54
1,32.448
1,32.356
1,32.264
1,32.172
1,32.08
1,31.988
1,31.896
