Success,Cusum
0,0.908
0,1.816
0,2.724
0,3.632
0,4.54
0,5.448
1,5.356
0,6.264
0,7.172
0,8.08
1,7.988
1,7.896
0,8.804
0,9.712
1,9.62
0,10.528
0,11.436
0,12.344
1,12.252
0,13.16
1,13.068
1,12.976
0,13.884
1,13.792
1,13.7
1,13.608
0,14.516
1,14.424
1,14.332
0,15.24
0,16.148
1,16.056
1,15.964
0,16.872
0,17.78
0,18.688
0,19.596
1,19.504
0,20.412
0,21.32
1,21.228
1,21.136
1,21.044
1,20.952
0,21.86
0,22.768
1,22.676
1,22.584
1,22.492
1,22.4
1,22.308
1,22.216
0,23.124
0,24.032
1,23.94
1,23.848
1,23.756
1,23.664
1,23.572
0,24.48
0,25.388
1,25.296
1,25.204
0,26.112
0,27.02
1,26.928
1,26.836
1,26.744
0,27.652
1,27.56
1,27.468
0,28.376
1,28.284
1,28.192
1,28.1
1,28.008
1,27.916
1,27.824
1,27.732
1,27.64
0,28.548
1,28.456
1,28.364
1,28.272
1,28.18
1,28.088
1,27.996
1,27.904
0,28.812
0,29.72
0,30.628
1,30.536
1,30.444
1,30.352
1,30.26
1,30.168
1,30.076
1,29.984
1,29.892
0,30.8
0,31.708
0,32.616
0,33.524
0,34.432
0,35.34
1,35.248
0,36.156
1,36.064
1,35.972
1,35.88
1,35.788
1,35.696
0,36.604
1,36.512
1,36.42
1,36.328
1,36.236
1,36.144
1,36.052
1,35.96
0,36.868
1,36.776
1,36.684
1,36.592
1,36.5
1,36.408
1,36.316
1,36.224
1,36.132
1,36.04
1,35.948
0,36.856
0,37.764
0,38.672
1,38.58
0,39.488
1,39.396
1,39.304
1,39.212
1,39.12
1,39.028
1,38.936
0,39.844
1,39.752
1,39.66
1,39.568
1,39.476
1,39.384
1,39.292
1,39.2
1,39.108
0,40.016
1,39.924
1,39.832
1,39.74
1,39.648
1,39.556
1,39.464
0,40.372
0,41.28
1,41.188
1,41.096
1,41.004
1,40.912
1,40.82
1,40.728
1,40.636
1,40.544
1,40.452
1,40.36
1,40.268
1,40.176
0,41.084
1,40.992
1,40.9
1,40.808
0,41.716
1,41.624
1,41.532
1,41.44
1,41.348
1,41.256
1,41.164
1,41.072
1,40.98
1,40.888
1,40.796
1,40.704
0,41.612
1,41.52
1,41.428
1,41.336
1,41.244
1,41.152
1,41.06
1,40.968
1,40.876
1,40.784
0,41.692
1,41.6
1,41.508
1,41.416
1,41.324
1,41.232
1,41.14
0,42.048
1,41.956
1,41.864
1,41.772
1,41.68
1,41.588
1,41.496
1,41.404
1,41.312
1,41.22
1,41.128
1,41.036
1,40.944
1,40.852
1,40.76
1,40.668
1,40.576
1,40.484
1,40.392
1,40.3
0,41.208
1,41.116
1,41.024
1,40.932
1,40.84
1,40.748
1,40.656
0,41.564
1,41.472
1,41.38
1,41.288
1,41.196
1,41.104
1,41.012
1,40.92
1,40.828
1,40.736
1,40.644
1,40.552
0,41.46
1,41.368
1,41.276
1,41.184
1,41.092
1,41
1,40.908
1,40.816
0,41.724
1,41.632
1,41.54
1,41.448
0,42.356
1,42.264
1,42.172
1,42.08
1,41.988
1,41.896
1,41.804
1,41.712
1,41.62
1,41.528
1,41.436
1,41.344
1,41.252
1,41.16
1,41.068
1,40.976
1,40.884
1,40.792
1,40.7
1,40.608
1,40.516
1,40.424
1,40.332
1,40.24
1,40.148
1,40.056
1,39.964
1,39.872
1,39.78
1,39.688
1,39.596
1,39.504
1,39.412
1,39.32
1,39.228
1,39.136
1,39.044
1,38.952
1,38.86
1,38.768
1,38.676
1,38.584
1,38.492
1,38.4
0,39.308
1,39.216
1,39.124
1,39.032
1,38.94
1,38.848
0,39.756
0,40.664
1,40.572
1,40.48
1,40.388
1,40.296
1,40.204
1,40.112
1,40.02
1,39.928
1,39.836
1,39.744
1,39.652
1,39.56
1,39.468
1,39.376
1,39.284
1,39.192
1,39.1
1,39.008
1,38.916
1,38.824
1,38.732
1,38.64
1,38.548
1,38.456
1,38.364
0,39.272
1,39.18
0,40.088
1,39.996
1,39.904
1,39.812
1,39.72
1,39.628
1,39.536
1,39.444
1,39.352
1,39.26
1,39.168
1,39.076
1,38.984
1,38.892
0,39.8
1,39.708
1,39.616
1,39.524
1,39.432
1,39.34
1,39.248
1,39.156
1,39.064
1,38.972
1,38.88
1,38.788
1,38.696
1,38.604
1,38.512
1,38.42
1,38.328
1,38.236
0,39.144
1,39.052
1,38.96
1,38.868
1,38.776
1,38.684
1,38.592
1,38.5
1,38.408
1,38.316
1,38.224
1,38.132
1,38.04
1,37.948
1,37.856
