Success,Cusum
0,0.982
0,1.964
0,2.946
1,2.928
0,3.91
1,3.892
1,3.874
1,3.856
1,3.838
1,3.82
1,3.802
1,3.784
1,3.766
1,3.748
0,4.73
1,4.712
1,4.694
1,4.676
1,4.658
1,4.64
0,5.622
1,5.604
1,5.586
1,5.568
0,6.55
1,6.532
1,6.514
1,6.496
1,6.478
1,6.46
1,6.442
1,6.424
1,6.406
1,6.388
1,6.37
1,6.352
0,7.334
1,7.316
1,7.298
1,7.28
1,7.262
1,7.244
1,7.226
1,7.208
1,7.19
1,7.172
1,7.154
1,7.136
1,7.118
1,7.1
1,7.082
1,7.064
0,8.046
1,8.028
1,8.01
1,7.992
1,7.974
1,7.956
1,7.938
1,7.92
1,7.902
1,7.884
1,7.866
1,7.848
1,7.83
0,8.812
1,8.794
1,8.776
1,8.758
1,8.74
1,8.722
0,9.704
1,9.686
1,9.668
1,9.65
1,9.632
1,9.614
1,9.596
1,9.578
1,9.56
1,9.542
1,9.524
1,9.506
1,9.488
1,9.47
1,9.452
1,9.434
1,9.416
1,9.398
1,9.38
0,10.362
1,10.344
1,10.326
1,10.308
1,10.29
1,10.272
1,10.254
1,10.236
1,10.218
1,10.2
1,10.182
1,10.164
1,10.146
1,10.128
1,10.11
1,10.092
1,10.074
1,10.056
1,10.038
