Success,Cusum
0,0.982
0,1.964
0,2.946
0,3.928
0,4.91
1,4.892
0,5.874
1,5.856
0,6.838
1,6.82
1,6.802
0,7.784
1,7.766
1,7.748
0,8.73
1,8.712
0,9.694
1,9.676
1,9.658
1,9.64
0,10.622
1,10.604
1,10.586
1,10.568
0,11.55
1,11.532
1,11.514
0,12.496
1,12.478
1,12.46
1,12.442
1,12.424
0,13.406
1,13.388
1,13.37
1,13.352
0,14.334
1,14.316
1,14.298
1,14.28
1,14.262
1,14.244
1,14.226
0,15.208
1,15.19
1,15.172
1,15.154
1,15.136
1,15.118
1,15.1
1,15.082
1,15.064
0,16.046
1,16.028
1,16.01
1,15.992
1,15.974
1,15.956
1,15.938
1,15.92
1,15.902
1,15.884
1,15.866
1,15.848
1,15.83
0,16.812
1,16.794
1,16.776
1,16.758
1,16.74
1,16.722
0,17.704
1,17.686
1,17.668
1,17.65
1,17.632
1,17.614
1,17.596
1,17.578
1,17.56
1,17.542
1,17.524
1,17.506
1,17.488
1,17.47
1,17.452
1,17.434
1,17.416
1,17.398
1,17.38
0,18.362
1,18.344
1,18.326
1,18.308
1,18.29
1,18.272
1,18.254
1,18.236
1,18.218
1,18.2
1,18.182
1,18.164
1,18.146
1,18.128
1,18.11
1,18.092
1,18.074
1,18.056
1,18.038
