Success,Cusum
0,0.982
1,0.964
1,0.946
1,0.928
1,0.91
1,0.892
1,0.874
1,0.856
0,1.838
1,1.82
1,1.802
0,2.784
1,2.766
1,2.748
1,2.73
1,2.712
0,3.694
1,3.676
1,3.658
1,3.64
1,3.622
1,3.604
1,3.586
1,3.568
0,4.55
1,4.532
1,4.514
0,5.496
1,5.478
1,5.46
1,5.442
1,5.424
0,6.406
1,6.388
1,6.37
1,6.352
1,6.334
1,6.316
1,6.298
1,6.28
1,6.262
1,6.244
1,6.226
1,6.208
1,6.19
1,6.172
1,6.154
1,6.136
1,6.118
1,6.1
1,6.082
1,6.064
1,6.046
1,6.028
1,6.01
1,5.992
1,5.974
1,5.956
1,5.938
1,5.92
1,5.902
1,5.884
1,5.866
1,5.848
1,5.83
1,5.812
1,5.794
1,5.776
1,5.758
1,5.74
1,5.722
1,5.704
1,5.686
1,5.668
1,5.65
1,5.632
1,5.614
1,5.596
1,5.578
1,5.56
1,5.542
1,5.524
1,5.506
1,5.488
1,5.47
1,5.452
1,5.434
1,5.416
1,5.398
1,5.38
1,5.362
1,5.344
1,5.326
1,5.308
1,5.29
1,5.272
1,5.254
1,5.236
1,5.218
1,5.2
1,5.182
1,5.164
1,5.146
1,5.128
1,5.11
1,5.092
1,5.074
1,5.056
1,5.038
